image_path,real_class,pred_mistralai/mistral-small-3.1-24b-instruct:free,pred_qwen/qwen2.5-vl-72b-instruct:free,pred_google/gemma-3-27b-it:free
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/man/adam_s_002297.png,man,woman,man,baby
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/man/man_s_000089.png,man,man,man,man
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/man/adam_s_002095.png,man,man,man,man
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/man/abel_s_000720.png,man,man,man,man
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/man/abel_s_000091.png,man,man,man,woman
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/man/man_s_002305.png,man,woman,man,woman
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/man/adam_s_000655.png,man,man,man,man
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/man/abel_s_000085.png,man,man,man,man
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/man/cain_s_001387.png,man,man,man,man
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/man/man_s_000248.png,man,man,man,man
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/man/man_s_001156.png,man,man,man,man
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/man/abel_s_000126.png,man,man,man,man
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/man/adam_s_001198.png,man,man,man,man
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/man/adam_s_000251.png,man,man,man,man
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/man/adam_s_002320.png,man,man,man,man
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/man/abel_s_000495.png,man,man,man,man
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/man/man_s_001208.png,man,woman,chimpanzee,man
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/man/adam_s_001173.png,man,man,man,man
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/man/man_s_001553.png,man,man,man,man
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/man/man_s_001547.png,man,man,man,man
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/man/adam_s_001199.png,man,woman,woman,woman
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/man/adam_s_000708.png,man,man,man,man
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/man/man_s_001745.png,man,woman,woman,man
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/man/cain_s_000852.png,man,man,man,man
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/man/man_s_000467.png,man,man,man,man
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/man/man_s_001962.png,man,man,leopard,man
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/man/adam_s_002057.png,man,woman,man,man
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/man/abel_s_000090.png,man,man,man,man
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/man/adam_s_000654.png,man,woman,woman,man
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/man/abel_s_000709.png,man,man,man,man
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/man/adam_s_000318.png,man,woman,man,man
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/man/adam_s_001760.png,man,man,man,man
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/man/adam_s_001990.png,man,woman,man,man
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/man/man_s_000936.png,man,man,woman,man
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/man/adam_s_001947.png,man,man,man,man
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/man/abel_s_000247.png,man,man,man,man
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/man/adam_s_001979.png,man,man,man,man
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/man/adam_s_000440.png,man,man,man,man
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/man/man_s_002138.png,man,man,woman,man
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/man/adam_s_002519.png,man,man,man,man
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/man/adam_s_002733.png,man,man,man,man
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/man/abel_s_000086.png,man,man,man,man
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/man/adam_s_002041.png,man,man,man,man
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/man/man_s_001169.png,man,man,man,man
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/man/adam_s_002727.png,man,man,man,man
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/man/cain_s_001390.png,man,man,man,man
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/man/adam_s_002653.png,man,man,man,man
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/man/man_s_001753.png,man,man,man,man
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/man/adam_s_001400.png,man,man,man,man
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/man/abel_s_000441.png,man,man,man,man
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/man/adam_s_000534.png,man,woman,man,man
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/man/man_s_002064.png,man,man,man,man
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/man/adam_s_002337.png,man,man,man,man
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/man/adam_s_001164.png,man,man,man,man
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/man/man_s_001223.png,man,woman,man,man
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/man/man_s_000128.png,man,snail,man,woman
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/man/adam_s_001171.png,man,man,man,man
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/man/adam_s_002336.png,man,man,man,man
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/man/adam_s_000535.png,man,man,man,man
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/man/adam_s_002322.png,man,man,man,man
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/man/man_s_002065.png,man,man,man,man
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/man/man_s_000841.png,man,man,man,man
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/man/adam_s_002652.png,man,man,man,man
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/man/man_s_000464.png,man,woman,woman,man
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/man/abel_s_000118.png,man,woman,man,man
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/man/man_s_001949.png,man,man,man,man
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/man/adam_s_001398.png,man,man,woman,man
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/man/man_s_001168.png,man,man,man,man
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/man/adam_s_000131.png,man,woman,woman,man
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/man/adam_s_000125.png,man,man,man,man
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/man/abel_s_000087.png,man,woman,man,man
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/man/adam_s_000643.png,man,man,man,man
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/man/adam_s_000870.png,man,fox,man,man
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/man/man_s_001197.png,man,man,man,man
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/man/adam_s_002083.png,man,leopard,woman,fox
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/man/cain_s_000716.png,man,man,man,man
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/man/man_s_001391.png,man,man,man,man
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/man/adam_s_001968.png,man,man,man,man
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/man/abel_s_000256.png,man,woman,man,man
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/man/man_s_002129.png,man,chimpanzee,man,woman
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/man/adam_s_001001.png,man,man,man,baby
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/man/man_s_001346.png,man,man,man,man
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/man/man_s_001187.png,man,man,woman,woman
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/man/cain_s_001430.png,man,woman,man,man
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/man/cain_s_000048.png,man,man,man,man
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/man/man_s_001193.png,man,man,man,man
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/man/adam_s_001565.png,man,man,man,man
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/man/adam_s_001559.png,man,man,woman,baby
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/man/man_s_000266.png,man,man,chimp,man
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/man/adam_s_000647.png,man,woman,man,man
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/man/abel_s_000083.png,man,woman,man,man
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/man/man_s_002303.png,man,bicycle,woman,man
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/man/abel_s_000120.png,man,man,man,man
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/man/man_s_001030.png,man,man,man,man
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/man/man_s_000448.png,man,woman,woman,man
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/man/abel_s_000450.png,man,man,man,man
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/man/adam_s_000280.png,man,man,man,man
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/man/adam_s_002440.png,man,man,man,man
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/man/man_s_002075.png,man,man,man,man
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/man/adam_s_000243.png,man,man,man,man
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/wardrobe/armoire_s_000147.png,wardrobe,wardrobe,wardrobe,wardrobe
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/wardrobe/closet_s_002342.png,wardrobe,wardrobe,wardrobe,wardrobe
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/wardrobe/wardrobe_s_002110.png,wardrobe,wardrobe,wardrobe,wardrobe
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/wardrobe/armoire_s_000153.png,wardrobe,wardrobe,wardrobe,wardrobe
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/wardrobe/closet_s_002430.png,wardrobe,wardrobe,wardrobe,table
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/wardrobe/wardrobe_s_000920.png,wardrobe,wardrobe,wardrobe,wardrobe
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/wardrobe/wardrobe_s_000934.png,wardrobe,wardrobe,wardrobe,wardrobe
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/wardrobe/wardrobe_s_001394.png,wardrobe,wardrobe,wardrobe,wardrobe
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/wardrobe/closet_s_000025.png,wardrobe,bicycle,table,wardrobe
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/wardrobe/wardrobe_s_001169.png,wardrobe,wardrobe,wardrobe,wardrobe
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/wardrobe/closet_s_000019.png,wardrobe,table,wardrobe,wardrobe
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/wardrobe/wardrobe_s_001633.png,wardrobe,wardrobe,wardrobe,wardrobe
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/wardrobe/closet_s_002034.png,wardrobe,man,wardrobe,wardrobe
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/wardrobe/armoire_s_000225.png,wardrobe,wardrobe,wardrobe,wardrobe
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/wardrobe/wardrobe_s_000459.png,wardrobe,wardrobe,wardrobe,plain
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/wardrobe/wardrobe_s_001747.png,wardrobe,wardrobe,wardrobe,wardrobe
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/wardrobe/wardrobe_s_001790.png,wardrobe,wardrobe,wardrobe,wardrobe
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/wardrobe/armoire_s_000033.png,wardrobe,table,wardrobe,wardrobe
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/wardrobe/wardrobe_s_001579.png,wardrobe,wardrobe,wardrobe,wardrobe
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/wardrobe/wardrobe_s_000667.png,wardrobe,wardrobe,wardrobe,wardrobe
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/wardrobe/armoire_s_000027.png,wardrobe,wardrobe,wardrobe,wardrobe
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/wardrobe/wardrobe_s_001223.png,wardrobe,wardrobe,wardrobe,wardrobe
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/wardrobe/wardrobe_s_001586.png,wardrobe,wardrobe,wardrobe,wardrobe
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/wardrobe/wardrobe_s_001587.png,wardrobe,wardrobe,wardrobe,wardrobe
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/wardrobe/closet_s_002592.png,wardrobe,wardrobe,wardrobe,wardrobe
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/wardrobe/closet_s_002579.png,wardrobe,wardrobe,wardrobe,wardrobe
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/wardrobe/wardrobe_s_001949.png,wardrobe,wardrobe,wardrobe,wardrobe
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/wardrobe/wardrobe_s_001791.png,wardrobe,wardrobe,wardrobe,wardrobe
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/wardrobe/wardrobe_s_000458.png,wardrobe,wardrobe,wardrobe,wardrobe
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/wardrobe/armoire_s_000224.png,wardrobe,table,wardrobe,wardrobe
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/wardrobe/wardrobe_s_001154.png,wardrobe,wardrobe,wardrobe,wardrobe
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/wardrobe/wardrobe_s_001632.png,wardrobe,wardrobe,wardrobe,wardrobe
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/wardrobe/closet_s_002155.png,wardrobe,wardrobe,wardrobe,wardrobe
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/wardrobe/wardrobe_s_000504.png,wardrobe,man,telephone,man
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/wardrobe/closet_s_001879.png,wardrobe,table,wardrobe,wardrobe
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/wardrobe/wardrobe_s_002105.png,wardrobe,wardrobe,wardrobe,wardrobe
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/wardrobe/wardrobe_s_002111.png,wardrobe,wardrobe,wardrobe,wardrobe
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/wardrobe/wardrobe_s_000706.png,wardrobe,wardrobe,table,wardrobe
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/wardrobe/wardrobe_s_002107.png,wardrobe,table,wardrobe,wardrobe
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/wardrobe/wardrobe_s_000710.png,wardrobe,wardrobe,wardrobe,wardrobe
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/wardrobe/closet_s_001106.png,wardrobe,bicycle,wardrobe,wardrobe
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/wardrobe/closet_s_000032.png,wardrobe,wardrobe,wardrobe,wardrobe
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/wardrobe/closet_s_002143.png,wardrobe,wardrobe,wardrobe,plain
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/wardrobe/wardrobe_s_000506.png,wardrobe,wardrobe,wardrobe,wardrobe
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/wardrobe/wardrobe_s_001181.png,wardrobe,wardrobe,sweet_pepper,wardrobe
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/wardrobe/wardrobe_s_002271.png,wardrobe,sweet_pepper,wardrobe,wardrobe
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/wardrobe/armoire_s_000232.png,wardrobe,wardrobe,wardrobe,wardrobe
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/wardrobe/wardrobe_s_001022.png,wardrobe,table,wardrobe,wardrobe
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/wardrobe/wardrobe_s_002259.png,wardrobe,rose,wardrobe,bed
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/wardrobe/wardrobe_s_000499.png,wardrobe,wardrobe,wardrobe,wardrobe
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/wardrobe/armoire_s_000024.png,wardrobe,wardrobe,wardrobe,wardrobe
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/wardrobe/armoire_s_000018.png,wardrobe,wardrobe,wardrobe,wardrobe
/Users/jdieguez/Documents/master/TFM/code/cifar-fs/test/wardrobe/closet_s_002590.png,wardrobe,wardrobe,wardrobe,wardrobe
